,Title,Artist,Lyrics
Stars (The Shack Version),Stars (The Shack Version),Skillet,"You spoke a word and life began
Told oceans where to start and where to end
You set in motion time and space
But still You come and You call to me by name
But still You come and You call to me by name

If you can hold the stars in place
You can hold my heart the same
Whenever I fall away
Whenever I start to break
So here I am, lifting up my heart
To the One who holds the stars

The deepest depths, the darkest nights
Can't separate, can't keep me from your sight
I get so lost, forget my way
But still You love and You don't forget my name

If You can hold the stars in place
You can hold my heart the same
Whenever I fall away
Whenever I start to break
So here I am, lifting up my heart
If You can calm the raging sea
You can calm the storm in me
You're never too far away
You never show up too late
So here I am, lifting up my heart
To the One who holds the stars

Your love has called my name
What do I have to fear?
What do I have to fear?
Your love has called my name
What do I have to fear?
What do I have to fear?

If You can hold the stars in place
You can hold my heart the same
Whenever I fall away
Whenever I start to break
So here I am, lifting up my heart
(Lifting up my heart)
If You can calm the raging sea
You can calm the storm in me
You're never too far away
You never show up too late
So here I am, lifting up my heart
To the One who holds the stars

You're the One who holds the stars"
This Is the Kingdom,This Is the Kingdom,Skillet,"This is the kingdom, kingdom
This is the kingdom, kingdom

Everybody's building empires
Building walls high in the name of glory
Everybody's hanging high wires
It's a fine line, it's an age-old story

The first will be last
And the last will be kings
The small will be great
And the great will be weak
Everybody's building empires
But it's our time

This is the kingdom
Heaven coming down to the corners of the Earth
This is the kingdom
Come alive in us, gonna light up this whole world
This is for freedom, freedom
To break off every chain
This is the kingdom

Blessed are the bound and broken
You're a citizen, and your faith will prove it
Blessed are the persecuted
And the wounded, you'll be crowned as rulers

The first will be last
And the last will be kings
The small will be great
And the great will be weak

This is the kingdom
Heaven coming down to the corners of the Earth
This is the kingdom
Come alive in us, gonna light up this whole world
This is for freedom, freedom
To break off every chain
This is the kingdom

Forever (Forever), forever (Forever)
Everything else is gonna fade away
It stands forever (Forever), forever (Forever)
Everything else is gonna fade away
We stand together, together
One heart, one voice, one name
It stands forever (Forever), forever (Forever)
Forever

This is the kingdom
This is the kingdom, kingdom (Oh)
This is the kingdom

This is the kingdom
Heaven coming down to the corners of the Earth
This is the kingdom
Come alive in us, gonna light up this whole world
This is for freedom, freedom
To break off every chain
This is the kingdom
This is the kingdom

This is the kingdom, kingdom
This is the kingdom, kingdom"
Brave,Brave,Skillet,"My feet were made to march like thunder
My lips to praise in awe and wonder
My hands hold power and my lungs breath fire
Holy Spirit fire, Holy Spirit fire

All on your love I stand
Because of who You are
I know who I am

Wherever I will go
Wherever You will lead
I never walk alone
Your spirit is with me
Oh, You're with me as I go
So I will not be afraid
You call me to be brave
In You, in You
Brave
In You
You call me to be brave

No height, no depth, no fear can shake me
Held firm, Your hands will never fail me
I won't lose strength, for Your strength is mine
You will be my light through the darkest night

All on Your love I stand
Because of who You are
I know who I am

Wherever I will go
Wherever You will lead
I never walk alone
Your spirit is with me
Oh, You're with me as I go
So I will not be afraid
You call me to be brave
In You, in You
Brave
In You, in You

Rise up, stand on faith
I will not be afraid
Your spirit lives inside
Your spirit is alive

Rise up, stand on faith
I will not be afraid
Your spirit lives inside
Your spirit is alive
Rise up, stand on faith
I will not be afraid
Your spirit is alive
Your spirit is alive

Wherever I will go
Wherever You will lead (Wherever You will lead)
I never walk alone
Your spirit is with me (Your spirit is with me)
Oh, You're with me as I go
So I will not be afraid
You call me to be brave
In You, in You
Brave
In You
You call me to be brave
In You, in You
Brave
In You
You call me to be brave"
Stay Til the Daylight,Stay Til the Daylight,Skillet,"The battlefield in my car
Next to me, miles apart
I can't remember how to start
I wanna go back, yeah
I wanna go back, yeah
Enemies drawing lines
They lay the blame, we justify
I surrender, I resign
I wanna go back, yeah
I wanna go back, yeah

And all that I needed to know
Will you stay til the daylight?
I just wanna take you home
Start again with the sunrise

Sleep on a dream
On it fade into the past
I wanted you are the best thing I've ever had
And all that I needed to know
Will you stay til the daylight?

All I know is I want you
Love can heal, love can bruise
On your side, win or lose
It's all in the past, yeah
It's all in the past, yeah
Battlefield in my car
Almost home in my arms
I'll be fine if you are
It's all in the past, yeah
It's all in the past, yeah

And all that I needed to know
Will you stay til the daylight?
I just wanna take you home
Start again with the sunrise

Sleep on a dream
On it fade into the past
I wanted you are the best thing I've ever had
And all that I needed to know
Will you stay til the daylight?

Daylight, daylight
Daylight, daylight
Oh
Daylight, daylight
Daylight, daylight
Oh

And all that I needed to know
Will you stay til the daylight?

Sleep on a dream
On it fade into the past
I wanted you are the best thing I've ever had
Stars shining all quiet
Lying next to me
Eyes open arms till tonight
I can feel you breathe


And all that I needed to know
Will you stay til the daylight?
And I'll never let you go
Start again with the sunrise
I can feel you breathing
I can feel you breathing
I can feel you breathing
I can feel you still breathing

Daylight, daylight
Daylight, daylight
Oh
Daylight, daylight
Daylight, daylight
Oh"
You Ain’t Ready,You Ain’t Ready,Skillet,"You ain't ready
You ain’t ready
You ain't ready
You ain't, you ain’t ready for me

A little bit of love, a little bit of great
A little bit of pain and misery
A little bit of strife in life
I fight
 and I survive
My back is gettin' pushed up against the wall
I'm never givin' up, I give my all
I'm never lookin' back, attack
My fear
, it's in the past

Stand up, stand up, stand up
You ain't ready for me

Give me your best shot, the stronger I stand
Not lookin’ for sympathy
What doesn’t kill me makes me who I am
A soldier fights 'til he’s free
You ain't ready for me

You ain't ready (No)
You ain't ready (No)
You ain’t ready (No)
You ain't, you ain't ready for me

A little bit of hope, a little bit of hurt
A little bit of ""Get what you deserve""
Dragging through the mud and blood
Get up
, I've had enough
Am I gettin' through? Time to come alive
Do you wanna live before you die?
Hold on to your truth 'til you 
break through
You'll never lose

Stand up, stand up, stand up
You ain't ready for me

Give me your best shot, the stronger I stand
Not lookin' for sympathy
What doesn't kill me makes me who I am
A soldier fights 'til he's free
You ain't ready for me

You ain't ready (No)
You ain't ready (No)
You ain't ready (No)
You ain't, you ain't ready for me

Stand up, stand up
Facin' the lions
Stand up
You ain't ready (No), you ain't ready (No)
Stand up, stand up
Facin' the fire
Stand up
You ain't ready (No), you ain't ready for me
You ain't ready for me

Give me your best shot, the stronger I stand
Not lookin' for sympathy
What doesn't kill me makes me who I am
A soldier fights 'til he's free
You ain't ready for me

You ain't ready (No)
You ain't ready (No)
You ain't ready (No)
You ain't, you ain't ready for me"
Good to Be Alive,Good to Be Alive,Skillet,"When all you got are broken dreams
Just need a second chance
And everything you want to be
Gets taken from your hands
We hold onto each other
All we have is all we need
Because one way or another
We always make it you and me

This life could almost kill ya
When you’re trying to survive
It’s good to be here with ya
And it’s good to be alive

It’s good to be alive
I was lost and I was gone
I was almost dead inside
You and me against the world
It’s a beautiful night
It’s good to be alive

It’s good to be alive
It’s good to be alive
It’s good to be alive
It’s good to be alive
It’s good to be alive

Driving down this highway
Soaking up the sun
Got miles to go before we get home
And the journey’s just begun
We hold onto each other
You are everything I need
You feel like forever
You’re a second chance for me

This life could almost kill ya
When you’re trying to survive
It’s good to be here with ya
And it’s good to be alive

It’s good to be alive
I was lost and I was gone
I was almost dead inside
You and me against the world
It’s a beautiful night
It’s good to be alive

It’s a beautiful night
Yeah, it’s all right
It’s good to be alive

This life could almost kill ya
When you’re trying to survive
It’s good to be here with ya
And it’s good to be alive

It’s good to be alive
I was lost and I was gone
I was almost dead inside
You and me against the world
It’s a beautiful night
It’s good to be alive

And it’s good to be alive
It’s good to be alive
I was lost and I was gone
I was almost dead inside
You and me against the world
It’s a beautiful night
It’s good to be alive

It’s a beautiful night
Yeah, it’s all right
It’s good to be alive
[""Despair"" Interlude: Reese Reynolds, 
Chamber Choir
, 
John Cooper
, 
Jen Ledger
]
Despair, you come to me, with your poison and your misery
Oh oh death you come to sting with your poison and your misery
Death death death death death
Death surrounds me, singing to me softly
Let the shadow spreads his wings around me
In the night, close your eyes, or it means to come in
This is how it feels when you're bent and broken
This is how it feels when your dignity's stolen
Singing to me softly
In the night, close your eyes, or it means to come in
I'll be here to call back
I can feel the shadow creeping in my mind
Don't close your eyes"
Never Surrender,Never Surrender,Skillet,"Do you know what it's like when
You're scared to see yourself?
Do you know what it's like when
You wish you were someone else
Who didn't need your help to get by?
Do you know what it's like
To wanna surrender?

I don't want to feel like this tomorrow
I don't want to live like this today
Make me feel better
I want to feel better
Stay with me here now
And never surrender

Do you know what it's like when
You're not who you wanna be?
Do you know what it's like to
Be your own worst enemy
Who sees the things in me I can't hide?
Do you know what it's like
To wanna surrender?

I don't want to feel like this tomorrow
I don't want to live like this today
Make me feel better
I want to feel better
Stay with me here now
And never surrender

Make me feel better
You make me feel better
You make me feel better
Put me back together

I don't want to feel like this tomorrow
I don't want to live like this today
Make me feel better
I need to feel better
Stay with me here now
And never surrender

Put me back together
Never surrender
Make me feel better
You make me feel better
Stay with me here now
And never surrender"
One Day Too Late,One Day Too Late,Skillet,"Tick tock, hear the clock countdown
Wish the minute hand could be rewound
So much to do and so much I need to say
Will tomorrow be too late?
Feel the moment slip into the past
Like sand through an hourglass
In the madness I guess I just forget
To do all the things I said

Time passes by
Never thought I'd wind up
One step behind
Now I've made my mind up

Today I'm going to try a little harder
Going to make every minute last longer
Going to learn to forgive and forget
Because we don't have long, going to make the most of it

(Today)Today I'm going to love my enemies (today)
Reach out to somebody who needs me
Make a change, make the world a better place
Because tomorrow could be one day too late
One day too late
One day too late

Tick tock, hear my life pass by
I can't erase and I can't rewind
Of all the things I regret the most I do
Wish I'd spent more time with you
Here's my chance for a new beginning
I saved the best for a better ending
And in the end I'll make it up to you, you'll see
You'll get the very best of me

Time passes by
Never thought I'd wind up
One step behind
Now I've made my mind up

Today I'm going to try a little harder
Going to make every minute last longer
Going to learn to forgive and forget
Because we don't have long, going to make the most of it

(Today)Today I'm going to love my enemies (today)
Reach out to somebody who needs me
Make a change, make the world a better place
Because tomorrow could be one day too late
One day too late
One day too late

Your time is running out
You're never going to get it back
So make the most of every moment
Stop saving the best for last
(Today) Today I'm going to try a little harder (Today)
Going to make every minute last longer
Going to learn to forgive and forget
Because we don't have long, going to make the most of it

(Today)Today I'm going to love my enemies (today)
Reach out to somebody who needs me
Make a change, make the world a better place
Because tomorrow could be one day too late
One day too late
One day too late

One day too late
One day too late
One day too late
One day too late"
Don’t Wake Me,Don’t Wake Me,Skillet,"I went to bed I was thinking about you
Ain't the same since I'm living without you
All the memories are getting colder
All the things that I want to do over
Went to bed I was thinking about you
I want to talk and laugh like we used to
When I see you in my dreams at night
It's so real but it's in my mind

And now
I guess
This is as good as it gets

Don't wake me
Because I don't wanna leave this dream
Don't wake me
Because I never seem to stay asleep enough
When it's you I'm dreaming of
I don't want to wake up

I went to bed I was thinking about you
And how it felt when I finally found you
It's like a movie playing over in my head
Don't want to look because i know how it ends
All the words that I said that I wouldn't say
All the promises I made that I wouldn't break
It's last call, last song, last dance
Because I can't get you back, can't get a second chance


Don't wake me
Because I don't want to leave this dream
Don't wake me
Because I never seem to stay asleep enough
When it's you I'm dreaming of
I don't want to wake up
Don't wake me
We're together just you and me
Don't wake me
Because we're happy like we used to be
I know I've got to let you go
But I don't want to be alone

These dreams of you keep on growing stronger
It ain't a lot but it's all I have
Nothing to do but keep sleeping longer
Don't want to stop cause I want you back


I went to bed I was thinking about you
Because I don’t want to leave this dream
It ain’t the same since I’m living without you
Because I never seem to stay asleep enough
I know I’ve got to let you go
But I don’t want to wake up"
Those Nights,Those Nights,Skillet,"I remember when we used to laugh
About nothing at all
It was better than going mad
From trying to solve all the problems we're going through
Forget them all
Cause on those nights
We would stand and never fall
Together we faced it all
Remember when we'd

Stay up late and we'd talk all night
In a dark room lit by the TV light
Through all the hard times in my life
Those nights kept me alive
We'd listen to the radio play all night
Didn't wanna go home to another fight
Through all the hard times in my life
Those nights kept me alive

I remember when we used to drive
Anywhere but here
As long as we'd forget our lives
We were so young and confused
That we didn't know to laugh or cry
Those nights were ours
They will live and never die
Together we'd stand forever
Remember when we'd

Stay up late and we'd talk all night
In a dark room lit by the TV light
Through all the hard times in my life
Those nights kept me alive
We'd listen to the radio play all night
Didn't wanna go home to another fight
Through all the hard times in my life
Those nights kept me alive

Those nights belong to us
There's nothing wrong with us
Those nights belong to us
I remember when
We used to laugh
And now I wish those nights would last

Stay up late and we'd talk all night
In a dark room lit by the TV light
Through all the hard times in my life
Those nights kept me alive
We'd listen to the radio play all night
Didn't wanna go home to another fight
Through all the hard times in my life
Those nights kept me alive
Stay up late and we'd talk all night
In a dark room lit by the TV light
Through all the hard times in my life
Those nights kept me alive
We'd listen to the radio play all night
Didn't wanna go home to another fight
Through all the hard times in my life
Those nights kept me alive

Those nights belong to us
There's nothing wrong"
Would It Matter,Would It Matter,Skillet,"If I wasn't here tomorrow
Would anybody care?
If my time was up I'd wanna know
You were happy I was there
If I wasn't here tomorrow
Would anyone lose sleep?
If I wasn't hard and hollow
Then maybe you would miss me

I know I'm a mess and I wanna be someone
Someone that I like better
I can never forget
So don't remind me of it forever
(Forever)

What if I just pulled myself together?
Would it matter at all?
What if I just tried not to remember?
Would it matter at all?
All the chances that have passed me by
Would it matter if I gave it one more try?
Would it matter at all?

If I wasn't here tomorrow
Would anybody care?
Still stuck inside this sorrow
I've got nothin' and goin' nowhere

I know I'm a mess and I wanna be someone
Someone that I like better
I can never forget
So don't remind me of it forever

What if I just pulled myself together?
Would it matter at all?
What if I just tried not to remember?
Would it matter at all?
All the chances that have passed me by
Would it matter if I gave it one more try?
Would it matter at all?

I know I'm a mess and I wanna be someone
Someone that I like better
Can you help me forget?
Don't wanna feel like this forever
Forever!

What if I just pulled myself together?
Would it matter at all?
What if I just tried not to remember?
Would it matter at all?
All the chances that have passed me by
Would it matter if I gave it one more try?
Would it matter at all?

If I left tomorrow
Would anybody care?
Stuck in this sorrow
Going nowhere

All the chances that have passed me by
Would it matter if I gave it one more try?
Would it matter at all?"
Back to Life,Back to Life,Skillet,"(I can't) Recognize me anymore
(This is all too hard to say)
(I am) I'm becoming sick and sore
(Why do I push you away?)
Just like I did before
Keep falling down when I try to soar
It's like I like the pain
I don't wanna feel this way

What's happening to me?

I, I'm slowly getting numb
I hate what I've become
Am I lost forever?
Bring me back to life
Help, my body's getting cold
So far away from home
But you feel like heaven
Bring me back to life
Bring me back to life

(You can) You can make me real again
(Just a plastic mannequin)
(I am) I am nothing but pretend
(But you know what I am)
Watch out 'cause this may sting (May sting)
Keep making promises I can't keep (Can't keep)
Help me to break these chains (These chains)
I don't wanna feel this way

What's happening to me?

I, I'm slowly getting numb
I hate what I've become
Am I lost forever?
Bring me back to life
Help, my body's getting cold
So far away from home
But you feel like heaven
Bring me back to life
Bring me back to life


I'm digging in the dirt
This is hell on Earth
Can you heal the places that I hurt?
Can't open up my eyes
All I see is black
Bring me back to life

What's happening to me?

I, I'm slowly getting numb
I hate what I've become
Am I lost forever?
Bring me back to life
Help, my body's getting cold
So far away from home
But you feel like heaven
Bring me back to life
I, I'm slowly getting numb
I hate what I've become
Am I lost forever?
Bring me back to life
Bring me back to life"
Salvation,Salvation,Skillet,"All alone, lost in this abyss
Crawling in the dark
Nothing to wet my longing lips
And I wonder where you are
Are you far?
Will you come to my rescue?
Am I left to die?
But I can’t give up on you

I feel you keeping me alive
You are my salvation
Touch you, taste you, feel you here
Oh oh, yeah yeah
I feel you keeping me alive
You are my salvation
Hold me, heal me, keep me near
Oh oh, yeah yeah
My heart will burn for you
It’s all I can do

Salvation
Salvation
Keeping me alive
Salvation
You’re keeping me
Salvation
You’re keeping me alive

Been out from under who I am
And who I want to be
Held you tightly in my hands
Why are we unravelling?
Was it me?
Will you come to my rescue?
Or did I push too far
When I turned my back on you?

I feel you keeping me alive
You are my salvation
Touch you, taste you, feel you here
Oh oh, yeah yeah
I feel you keeping me alive
You are my salvation
Hold me, heal me, keep me near
Oh oh, yeah yeah
My heart will burn for you
It’s all I can do

Salvation
Salvation
Keeping me alive
Salvation

Touch you, taste you, feel you, need you
Give it all just to find you
Hold me, heal me
I will find you

Keeping me alive
You are my salvation
Touch you, taste you, feel you here
Oh oh, yeah yeah
Our love will never die
You are my salvation
Hold me, heal me, keep me near
Oh oh, yeah yeah
My heart will burn for you
It’s all I can do

Salvation
Salvation
Touch you, taste you, feel you, need you
Salvation"
Circus for a Psycho,Circus for a Psycho,Skillet,"Psycho, go, go, go
Psycho, here we go

You push me 'till I break
And the anger turns to rage
Why can’t you just leave me alone
Got your finger on the trigger
You think that you’re the winner
You’re gonna get kicked (Kicked) off of your throne
You think you’re going to hurt me
Get ready to get dirty
You created this beast inside (this beast inside)
Pull the noose tighter
And lift a little higher
Because you’re killing me slow
I ain’t ready to die
Killing me slow but I ain’t ready to die

Tonight, get ready for a fight
So now you know it’s time
To ride a circus for a psycho
Round and round we go, look out below
Because I want off this
I want off this

Circus for a psycho
(Psycho, go, go, go)
Circus for a psycho
(Psycho, here we go)
Psycho, here we go

Everybody down
Gonna burn it to the ground
Can’t keep this beast inside (This beast inside)
Never again, never again
You’re killing me slow but I ain’t ready to die
Killing me slow but I ain’t ready to die

Tonight, get ready for a fight
So now you know it’s time
To ride a circus for a psycho
Round and round we go, look out below
Because I want off this
I want off this

Circus for a psycho
(Psycho, go, go, go)
Circus for a psycho
(Psycho, here we go)
Psycho, here we go

You think you’re going to hurt me
Get ready to get dirty
Going to burn this place to the ground

Tonight, get ready for a fight
So now you know it’s time
To ride a circus for a psycho
Round and round we go, look out below
It’s time to ride a circus for a psycho

Never again, never again
You’re killing me slow but I ain’t ready to die
Round and round we go, look below
Because I want off this
I want off this

Circus for a psycho
(Psycho, go, go, go)
Circus for a psycho
(Psycho, here we go)
Psycho, here we go

Circus for a psycho
Circus for a psycho
(Psycho, here we go)"
Never Going Back,Never Going Back,Skillet,"(Can you hear me?)
Never
(Can you hear me?)
Never
(Can you hear me?)

I used to be caged, never stood my ground
I lived like a slave, those days are over now

Oh no, you will never know me
Let go, you will never own me
No more like before
Never gonna be, never gonna be yours

On my life, I'm never going back
I never say die and I ain't starting, yeah
Tell no lies, I'm never going back
My back's against the wall, but I know who I am
Never go, never going back

Never
(Can you hear me?)
Never

Like an angel of light, you pull me close again
Devil in a disguise, the teeth are sinking in

Oh no, you will never know me
Let go, you will never own me
No more like before
Never gonna be, never gonna be yours

On my life, I'm never going back
I never say die and I ain't starting, yeah
Tell no lies, I'm never going back
My back's against the wall, but I know who I am
Never go, never going back


Oh no, you will never know me
Let go, you will never own me
No more like before
Never gonna be, never gonna be yours

On my life, I'm never going back
I never say die and I ain't starting, yeah
Tell no lies, I'm never going back
My back's against the wall, but I know who I am
On my life, I'm never going back (No more)
(Never gonna be, never gonna be yours)
I never say die and I ain't starting, yeah
(Never gonna be, never gonna be yours)
Tell no lies, I'm never going back (No more)
(Never gonna be, never gonna be yours)
My back's against the wall, but I know who I am
(Never gonna be, never gonna be yours)
Never go, never going back

Never go, never going back
Never
(Can you hear me?)
Never
(Can you hear me?)"
Reach,Reach,Skillet,"You were the only one to see
Secrets locked inside of me
You were the only one
So tell me where you've gone
I've lost a little more today
Nothing more you can take away
Can I believe you still?
I need something real

No one ever wants to feel like this
No one ever wants to feel like this

Where are you? I can't find you
Broke in two, left behind you
Reach for me (Reach for me)
I'm falling deep (I'm falling)
Promise me you're never leaving
I'm still here, broken, bleeding
Reach for me (Reach for me)
I'm falling deep
Reach for me

No one could ever get me more
Nothing could ever fix me more
Did I scare you away?
Don't say I'll be okay

No one ever wants to feel like this

Where are you? I can't find you
Broke in two, left behind you
Reach for me (Reach for me)
I'm falling deep (I'm falling)
Promise me you're never leaving
I'm still here, broken, bleeding
Reach for me (Reach for me)
I'm falling deep
Reach for me


No one ever wants to feel like this
No one ever wants to feel like this
No one ever wants to hurt like this
No one ever wants to hurt like this

Where are you? I can't find you
Broke in two, left behind you
Reach for me (Reach for me)
I'm falling deep (I'm falling)
Promise me you're never leaving
I'm still here, broken, bleeding
Reach for me (Reach for me)
I'm falling deep
Reach for me

Nobody wants to feel like this
Reach for me
Nobody wants to hurt like this
I'm falling deep
Reach for me"
"It’s Not Me, It’s You","It’s Not Me, It’s You",Skillet,"Let's get the story straight
You were a poison
You flooded through my veins
You left me broken
You tried to make me think
That the blame was all on me
With the pain you put me through
And now I know that it's not me, it's you
It's not me, it's you
Always has been you
All the lies and stupid things you say and do, it's you
It's not me, it's you
All the lies and pain you put me through
I know that it's not me, it's you, you
It's not me, it's you, you
So here we go again
The same fight we're always in
I don't care so, why pretend?
Wake me when your lecture ends
You tried to make me small
Make me fall and it's all your fault
With the pain you put me through
And now I know that it's not me, it's you

Let's get the story straight
You were a poison
Flooding through my veins
Driving me insane
And now you're gone away
I'm no longer choking
From the pain you put me through
And now I know that it's not me, it's you"
Better Than Drugs,Better Than Drugs,Skillet,"Feel your every heartbeat
Feel you on these empty nights
Calm the ache, stop the shakes
You clear my mind
You're my escape
From this messed up place
'Cause you let me forget
You numb my pain
How can I tell you just all that you are
What you do to me

You're better than drugs
Your love is like wine
Feel you coming on so fast
Feel you coming to get me high
You're better than drugs
Addicted for life
Feel you coming on so fast
Feel you coming on to get me high

Feel you when I'm restless
Feel you when I cannot cope
You're my addiction, my prescription, my antidote
You kill the poison
Ease the suffering
Calm the rage when I'm afraid
To feel again
How can I tell you just all that you are
What you do to me

You're better than drugs
Your love is like wine
Feel you coming on so fast
Feel you coming to get me high
You're better than drugs
Addicted for life
Feel you coming on so fast
Feel you coming on to get me high

How can I tell you just all that you are
What you do to me
Feel your every heartbeat
Feel you on these empty nights
You're the strength of my life

You're better than drugs
Your love is like wine
Feel you coming on so fast
Feel you coming to get me high
You're better than drugs
Addicted for life
Feel you coming on so fast
Feel you coming on to get me high

Feel your every heartbeat
Feel you on these empty night
(Feel you coming on so fast
Feel you coming on to get me high)
Feel your every heartbeat
Feel you come to get me high
(Feel you coming on so fast
Feel you comin' on to get me high)
To get me high"
Dead Man Walking,Dead Man Walking,Skillet,"Bring out the dead, the dead
Bring out the dead man

Like a nightmare, terrorized
Ah-ah-ah-ah-ah
Try to run but I'm paralyzed
Ah-ah-ah-ah-ah

Blaze with the rage, I'm caged in flames of fire
Blaze like a beast to feast on my desire
Break, make me human, You can take me higher
Make the nightmare end

Make me somethin' real

I'm feelin' dead inside
Waitin' to come alive
I'm just a dead man walkin'
I need electric shock
Your love's the lightnin' rod
Wake up the dead man walkin'
Without love, not enough
Gotta taste, gotta touch You to feel You
Like fire in my veins
I'm feelin' dead inside
Waitin' to come alive
I'm just a dead man walkin'
I'm just a dead man walkin'

Bring out the dead, the dead
Bring out the dead man
Bring out the dead, the dead
Bring out the dead man

Bag of bones but I got no blood
Ah-ah-ah-ah-ah
Comin' forth like Lazarus
Ah-ah-ah-ah-ah

Blaze with the rage, I'm caged in flames of fire
Blaze like a beast to feast on my desire
Break, make me human, You can take me higher
Make the nightmare end

Make me somethin' real

I'm feelin' dead inside
Waitin' to come alive
I'm just a dead man walkin'
I need electric shock
Your love's the lightnin' rod
Wake up the dead man walkin'
Without love, not enough
Gotta taste, gotta touch You to feel You
Like fire in my veins
I'm feelin' dead inside
Waitin' to come alive
I'm just a dead man walkin'
I'm just a dead man walkin'

I'm wakin' up in a field of souls
My hands are twitchin' but my heart is cold
Can't stop from fallin'
Look out below

Bring out the dead, the dead
Bring out the dead man
Bring out the dead, the dead
Bring out the dead man

I'm feelin' dead inside
Waitin' to come alive
I'm just a dead man walkin'
I need electric shock
Your love's the lightnin' rod
Wake up the dead man walkin'
Without love, not enough
Gotta taste, gotta touch You to feel You
Like fire in my veins
I'm feelin' dead inside
Waitin' to come alive
I'm just a dead man walkin'
I'm just a dead man walkin'

Bring out the dead, the dead
Bring out the dead man
Bring out the dead, the dead
Bring out the dead man"
The Older I Get,The Older I Get,Skillet,"The walls between
You and I
Always pushing us apart nothing left but scars fight after fight
The space between
Our calm and rage
Started growing shorter , disappearing slowly day after day

I was sitting there waiting in my room for you
You were waiting for me too
And it makes me wonder

The older I get
Will I get over it
It's been way too long for the times we missed
I didn't know then it would hurt like this but I think
The older I get
Maybe I'll get over it
It's been way too long for the times we missed
I can't believe it still hurts like this

The time between
Those cutting words
Built up our defenses never made no sense it just made me hurt
Do you believe
That time heals all wounds
It started getting better but it's easy not to fight when I'm not with you

I was sitting there waiting in my room for you
You were waiting for me too
And it makes me wonder

The older I get
Will I get over it
It's been way too long for the times we missed
I didn't know then it would hurt like this but I think
The older I get
Maybe I'll get over it
It's been way too long for the times we missed
I can't believe it still hurts like this

What was I waiting for
I should've taken less and given you more
I should've weathered the storm
I need to say so bad
What were you waiting for
This could have been the best we ever had

The older I get
Will I get over it
It's been way too long for the times we missed
I didn't know then it would hurt like this but I think
The older I get
Maybe I'll get over it
It's been way too long for the times we missed
I can't believe it still hurts like this
Hurts like this

I'm just getting older
I'm not getting over you I'm trying to
I wish it didn't hurt like this
It's been way too long for the times we missed
I can't believe it still hurts like this"
What I Believe,What I Believe,Skillet,"The world around me is lost in misery
The only good I've got in my life is you
No meaning, no other reason
When everything feels wrong I feel right with you
So madly, desperate, deeply obsessed
Your love is better than mine to me
Can I have this moment forever?
Take me to the beginning

You are what I believe
I’ll live and die for you
This is all that I need
When nothing is real you are my truth
In the darkness, you shine
Can you keep me safe tonight?
When I’m down on my knees
You are what I believe

When we started whole-hearted
I never needed anything or anyone else
I was broken, you made me whole again
The only one I trusted more than myself
So madly, desperate, deeply
I will live for you completely
Can I have this moment forever?
Take me to the beginning

You are what I believe
I’ll live and die for you
This is all that I need
When nothing is real you are my truth
In the darkness, you shine
Can you keep me safe tonight?
When I’m down on my knees
You are what I believe

Believe in your love, belief in your life
Believe that you can put me back together on the inside
Chase all the fear away
Every time I speak your name
Take me, you are what I believe

You are what I believe
I’ll live and die for you
This is all that I need
When nothing is real, you are my truth
In the darkness, you shine
Can you keep me safe tonight?
When I’m down on my knees
You are what I believe"
Fire and Fury,Fire and Fury,Skillet,"Every brick and every stone
Of the world we made will come undone
If I, if I can't feel you here with me woah oh oh
In my sleep, I call your name
But when I wake I need to touch your face
'Cause I, I need to feel you here with me, woah oh oh
You can stop the aching
‘Cause you’re the one I need

I will burn, I will burn for you
With fire and fury, fire and fury
My heart hurts, my heart hurts for you
Your love burns within me with fire and fury

If I freeze, you are the flame
You melt my heart, I'm washed in your rain
I know, you’ll always have the best of me woah oh oh
Destiny’s got a hold on me
Guess I never knew love like love knows me
'Cause I, I need to feel you here with me

I will burn, I will burn for you
With fire and fury, fire and fury
My heart hurts, my heart hurts for you
Your love burns within me with fire and fury

Let it all fall down to dust
Can’t break the two of us
We are safe in the strength of love
You can stop the aching
Because you’re the one I need

I will burn, I will burn for you
With fire and fury, fire and fury
My heart hurts, my heart hurts for you
Your love burns within me
It burns, it burns, it burns, it burns

Your love burns within me with fire and fury"
Yours to Hold,Yours to Hold,Skillet,"I see you standing here
But you're so far away
Starving for your attention
You don't even know my name

You're going through so much
But I know that I could be the one to hold you

Every single day
I find it hard to say
I could be yours alone
You will see someday
That all along the way
I was yours to hold
I was yours to hold

I see you walking by
Your hair always hiding your face
I wonder why you've been hurting
I wish I had some way to say

You're going through so much
Don't you know that I could be the one to hold you

Every single day
I find it hard to say
I could be yours alone
You will see someday
That all along the way
I was yours to hold
I was yours to hold

I'm stretching but you're just out of reach
You should know
I'm ready when you're ready for me
And I'm waiting for the right time
For the day I catch your eye
To let you know
That I'm yours to hold

Every single day
I find it hard to say
I could be yours alone
You will see someday
That all along the way
I was yours to hold
I was yours to hold
Every single day
I find it hard to say
I could be yours alone
You will see someday
That all along the way
I was yours to hold
I was yours to hold

I'm stretching but you're just out of reach
I'm ready when you're ready for me"
